127.0.0.1 - - [24/Apr/2017:12:11:57 -0500] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [24/Apr/2017:12:11:59 -0500] "GET /HiddenHurdlesUI/Home.html HTTP/1.1" 200 726
0:0:0:0:0:0:0:1 - - [24/Apr/2017:12:11:59 -0500] "GET /HiddenHurdlesUI/css/Home.css HTTP/1.1" 200 894
0:0:0:0:0:0:0:1 - - [24/Apr/2017:12:11:59 -0500] "GET /HiddenHurdlesUI/js/Home.js HTTP/1.1" 200 159
0:0:0:0:0:0:0:1 - - [24/Apr/2017:12:13:49 -0500] "GET /HiddenHurdlesUI/Home.html HTTP/1.1" 200 726
0:0:0:0:0:0:0:1 - - [24/Apr/2017:12:13:49 -0500] "GET /HiddenHurdlesUI/css/Home.css HTTP/1.1" 200 894
0:0:0:0:0:0:0:1 - - [24/Apr/2017:12:13:49 -0500] "GET /HiddenHurdlesUI/js/Home.js HTTP/1.1" 200 159
0:0:0:0:0:0:0:1 - - [24/Apr/2017:12:13:57 -0500] "GET /HiddenHurdlesUI/Home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2017:12:13:57 -0500] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [24/Apr/2017:12:13:58 -0500] "GET /HiddenHurdlesUI/Levels.html HTTP/1.1" 200 881
0:0:0:0:0:0:0:1 - - [24/Apr/2017:12:13:58 -0500] "GET /HiddenHurdlesUI/css/Levels.css HTTP/1.1" 200 1445
0:0:0:0:0:0:0:1 - - [24/Apr/2017:12:13:58 -0500] "GET /HiddenHurdlesUI/js/Levels.js HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [24/Apr/2017:12:13:58 -0500] "GET /HiddenHurdlesUI/images/tyb.jpg HTTP/1.1" 200 156109
0:0:0:0:0:0:0:1 - - [24/Apr/2017:12:14:00 -0500] "GET /HiddenHurdlesUI/Level1.html HTTP/1.1" 200 3213
